INFO 2024-07-26 12:40:45,516 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-26 12:40:45,517 autoreload Waiting for apps ready_event.
DEBUG 2024-07-26 12:40:45,617 autoreload Main Django thread has terminated before apps are ready.
DEBUG 2024-07-26 12:40:45,633 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-26 12:40:45,662 autoreload File /usr/lib/python3.10/collections/abc.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,662 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/__init__.py first seen with mtime 1721904967.9604206
DEBUG 2024-07-26 12:40:45,662 autoreload File /usr/lib/python3.10/concurrent/futures/thread.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,662 autoreload File /usr/lib/python3.10/operator.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,662 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/utils/inspect.py first seen with mtime 1721904967.9924216
DEBUG 2024-07-26 12:40:45,662 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1721904967.9644208
DEBUG 2024-07-26 12:40:45,662 autoreload File /usr/lib/python3.10/bisect.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,662 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/functions/mixins.py first seen with mtime 1721904967.9644208
DEBUG 2024-07-26 12:40:45,662 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/apps/__init__.py first seen with mtime 1721904967.468404
DEBUG 2024-07-26 12:40:45,662 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/utils/duration.py first seen with mtime 1721904967.9924216
DEBUG 2024-07-26 12:40:45,663 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/fields/mixins.py first seen with mtime 1721904967.9644208
DEBUG 2024-07-26 12:40:45,663 autoreload File /usr/lib/python3.10/heapq.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,663 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/aggregates.py first seen with mtime 1721904967.9604206
DEBUG 2024-07-26 12:40:45,663 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/cache/utils.py first seen with mtime 1721904967.9284196
DEBUG 2024-07-26 12:40:45,663 autoreload File /usr/lib/python3.10/uu.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,663 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/template/base.py first seen with mtime 1721904967.9804213
DEBUG 2024-07-26 12:40:45,663 autoreload File /usr/lib/python3.10/email/mime/message.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,663 autoreload File /usr/lib/python3.10/calendar.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,663 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/manager.py first seen with mtime 1721904967.9604206
DEBUG 2024-07-26 12:40:45,663 autoreload File /usr/lib/python3.10/http/client.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,663 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/handlers/base.py first seen with mtime 1721904967.9324195
DEBUG 2024-07-26 12:40:45,663 autoreload File /usr/lib/python3.10/types.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,663 autoreload File /usr/lib/python3.10/keyword.py first seen with mtime 1711126205.0
